LAD13CD,LAD21NM,year,EmpRate,QualProportion,LTsick,digital,MaxMinRatio,Access,ratio_80_20,AffRatio,child_poverty,food,Decent,Turnout,PermEmp,tdr,sr,le_both,le_var_abs_both,le_var_rel_both,le_male,le_var_abs_male,le_var_rel_male,le_female,le_var_abs_female,le_var_rel_female,Cluster
E06000001,Hartlepool,2020,68.8,78.72,9.61,74.1379,5.2353,62.07,2.74,5.7207,37.79,15.29,19.8,35.88,94.82,60.4452,0.9603,78.8609,11.8256,0.15,76.5641,12.4728,0.1629,81.224,11.0297,0.1358,1
E06000002,Middlesbrough,2020,64,74.58,7.26,61.6279,5.6024,50,3.15,5.9145,39.42,16.59,24.7,35.74,94.53,57.3497,0.979,78.0044,11.6126,0.1489,76.0622,12.083,0.1589,80.0185,11.0324,0.1379,1
E06000003,Redcar and Cleveland,2020,68.2,77.24,7.9,60.2273,3.4127,95.45,2.83,6.1319,36.78,13.3,25.5,37.61,95.8,65.942,0.9434,79.7101,11.724,0.1471,77.7372,12.6125,0.1622,81.6951,10.7661,0.1318,1
E06000004,Stockton-on-Tees,2020,72.5,86.07,6.1,48.3333,3.7346,81.67,3.01,6.3642,35.3,13.01,16.4,36,95.51,59.7087,0.9799,80.3805,11.1417,0.1386,78.8089,11.4587,0.1454,81.9881,10.7483,0.1311,1
E06000005,Darlington,2020,73.7,81.7,5.67,49.2308,4.411,32.31,2.94,6.2122,36.1,11.55,23.3,39.09,96.13,61.8401,0.9509,80.0011,11.3166,0.1415,78.5378,11.7444,0.1495,81.4931,10.855,0.1332,1
E06000006,Halton,2020,76.5,83.5,7.21,56.962,3.1197,35.44,2.94,6.4116,29.35,13.69,15.6,37.21,96.45,59.2866,0.9474,79.9345,11.2807,0.1411,78.0986,11.7211,0.1501,81.8268,10.7538,0.1314,1
E06000007,Warrington,2020,82.6,82.87,3.32,30.7087,3.6916,51.18,2.92,8.3551,25.39,8.74,19,36.04,95.36,58.3522,0.982,80.9636,10.7263,0.1325,79.1486,11.2184,0.1417,82.8593,10.1081,0.122,2
E06000008,Blackburn with Darwen,2020,68.9,69.35,7.95,61.5385,2.7226,30.77,2.22,5.9502,36.13,16.51,26.5,29.56,96.85,56.8443,1.0067,78.1158,11.6432,0.1491,75.9381,12.1803,0.1604,80.5376,10.8631,0.1349,1
E06000009,Blackpool,2020,74.7,77.55,8.68,75.5319,2.0816,53.19,2.64,6.0071,34.11,13.8,32.1,32.14,95.09,61.9159,0.9828,76.3058,12.8104,0.1679,73.4985,13.5736,0.1847,79.3872,11.6992,0.1474,1
E06000010,"Kingston upon Hull, City of",2020,76.6,69.42,7.54,64.4578,2.125,40.36,2.55,5.7798,36.35,13.99,23.2,27.38,96.7,52.3529,1.0156,77.7341,11.6659,0.1501,75.4452,12.2686,0.1626,80.2557,10.7821,0.1343,1
E06000011,East Riding of Yorkshire,2020,77.2,86.14,4.82,35.2381,2.77,79.52,3.22,7.7274,27.01,8.37,26,36.7,95.62,71.4928,0.9629,82.0684,10.3653,0.1263,80.2829,10.8315,0.1349,83.9376,9.7884,0.1166,3
E06000012,North East Lincolnshire,2020,73.2,70.74,7.15,66.0377,4.0952,71.7,3.16,6.2541,35.07,9.06,26.9,35.14,93.53,64.4995,0.9582,80.3246,11.0549,0.1376,78.3516,11.8137,0.1508,82.3429,10.1944,0.1238,1
E06000013,North Lincolnshire,2020,73,75.88,6.91,48.5149,2.7895,61.39,2.82,6.5014,33.14,9.09,22.1,35.13,96.03,63.5762,0.976,81.598,10.7372,0.1316,79.3474,11.3271,0.1428,83.9662,9.9626,0.1187,1
E06000014,York,2020,79.4,86.79,3.18,21.6667,1.7403,62.5,3.66,10.4898,23.93,9.5,20,37.7,93.62,49.1513,0.9674,82.1955,10.5759,0.1287,80.4786,10.9824,0.1365,83.8988,10.0249,0.1195,2
E06000015,Derby,2020,75.2,83.38,5.71,48.3444,2.3791,54.97,3.11,6.4837,32.81,12.11,14.5,35.82,93.91,56.7073,0.9861,79.7852,11.6433,0.1459,77.6831,12.2114,0.1572,81.9603,10.8833,0.1328,1
E06000016,Leicester,2020,74.5,67.51,3.57,61.4583,1.8333,30.73,2.69,9.0291,37.9,12.1,25.4,31.49,93.3,48.2629,1.0102,78.9756,11.6601,0.1476,76.8604,12.5092,0.1628,81.2472,10.5754,0.1302,1
E06000017,Rutland,2020,72.3,75.12,3.57,0,2.9524,95.65,3.8504,10.8404,17.63,10.19,22.2346,41.19,94.81,68.595,1.04,85.6297,8.8829,0.1037,84.6718,8.933,0.1055,86.4522,8.8857,0.1028,2
E06000018,Nottingham,2020,66.6,77.9,5.98,57.6923,2.374,27.47,2.91,7.0812,35.68,17.14,16.3,33.37,88.08,41.0879,1.0387,78.5361,11.6823,0.1488,76.477,12.0492,0.1576,80.7906,11.0572,0.1369,1
E06000019,"Herefordshire, County of",2020,79.6,81.51,5.3,25,2.5949,83.62,3.16,11.4219,29.36,9.13,26.1,36.29,95.73,68.3203,0.9755,82.3817,10.5275,0.1278,80.5033,11.2847,0.1402,84.3394,9.6527,0.1145,3
E06000020,Telford and Wrekin,2020,73.6,72.92,5.31,45.3704,3.5638,85.19,3.12,7.9507,33.76,9.55,23.2,34.13,94.41,58.8801,0.9847,80.7428,10.9541,0.1357,78.9308,11.601,0.147,82.6319,10.1945,0.1234,3
E06000021,Stoke-on-Trent,2020,72.6,73.83,9.59,71.6981,3.0362,71.7,2.56,5.33,37.82,13.61,19.6,29.38,96.32,57.7396,1.0141,78.0764,11.9701,0.1533,76.0182,12.5631,0.1653,80.3042,11.1558,0.1389,1
E06000022,Bath and North East Somerset,2020,79.2,91.04,2.65,13.913,2.8182,61.74,3.94,14.2568,20.11,15.58,18.3,39.4,92.85,52.6848,0.9878,83.4691,9.8998,0.1186,81.7897,10.3603,0.1267,85.1156,9.3365,0.1097,2
E06000023,"Bristol, City of",2020,75.7,86.69,7.5,31.5589,2.7951,31.56,2.96,10.5439,33.48,11.7,13.8,35.53,94.14,43.619,1.0117,80.9212,11.0255,0.1362,78.8816,11.6971,0.1483,83.0911,10.1609,0.1223,1
E06000024,North Somerset,2020,80.8,81.36,4.96,25.1852,3.1699,90.37,3.37,9.9889,21.69,9.72,21.9,38.69,94.42,69.8188,0.9467,83.1764,10.105,0.1215,81.3594,10.7463,0.1321,85.007,9.3798,0.1103,2
E06000025,South Gloucestershire,2020,82.5,85.91,2.7,15.7576,2.1586,61.82,3.3,11.0626,21.04,10.52,19.2,39.62,96.43,57.4945,0.9773,83.7251,10.1223,0.1209,82.2589,10.3475,0.1258,85.2243,9.8365,0.1154,2
E06000026,Plymouth,2020,73.4,75.25,8.3,39.1304,1.7172,31.68,2.86,8.0564,29.77,13.74,19.5,38.39,93.75,55.9905,0.9864,80.955,11.1072,0.1372,79.2206,11.6751,0.1474,82.7668,10.4609,0.1264,1
E06000027,Torbay,2020,72.3,75.86,6.91,67.4157,2.1856,64.04,3.37,9.8425,29.98,10.91,24.9,37.47,95.65,75.3213,0.9542,81.2023,11.1925,0.1378,79.1203,11.922,0.1507,83.3673,10.3723,0.1244,1
E06000030,Swindon,2020,80.6,76.2,4.5,34.8485,2.3229,59.09,2.96,8.544,25.84,10.8,14.3,34.85,95.68,56.2412,0.9982,82.0237,10.6524,0.1299,80.1268,11.2228,0.1401,84.0202,9.9111,0.118,3
E06000031,Peterborough,2020,75.1,73.15,6.64,53.5714,3.1724,66.96,3.15,8.9583,36.21,13.13,18.5,33.09,97.38,60.1581,1.0139,80.9318,11.3179,0.1398,79.1308,11.9349,0.1508,82.797,10.5713,0.1277,1
E06000032,Luton,2020,71.9,67.72,4.22,48.7603,1.8155,43.8,2.93,10.5357,39.39,13.07,19.1,31.25,95.7,56.2225,1.0402,80.1183,11.7818,0.1471,77.9066,12.2708,0.1575,82.5196,11.0288,0.1337,1
E06000033,Southend-on-Sea,2020,78.8,76.94,4.19,34.5794,2.3415,22.43,3.49,11.1882,27.44,9.84,28.4,35.03,97.06,61.1993,0.9614,80.837,10.651,0.1318,78.6776,11.2571,0.1431,83.0553,9.8617,0.1187,3
E06000034,Thurrock,2020,76.6,73.12,2.66,37.7551,1.9034,63.27,3.09,10.5038,29.53,11.64,23.4,33.86,95.94,55.9111,0.9708,80.4389,10.8182,0.1345,78.426,11.5485,0.1473,82.5444,9.9359,0.1204,3
E06000035,Medway,2020,76.7,82.8,4.53,31.9018,2.2632,46.01,2.74,9.2026,30.02,14.58,21.2,36.42,95.86,56.5022,0.9815,80.4668,11.1545,0.1386,78.3897,11.6626,0.1488,82.6572,10.4994,0.127,1
E06000036,Bracknell Forest,2020,83.7,85.68,1.94,4,3.1176,68,3.05,12.8801,19.49,9.92,9.1,41.43,95.58,52.3284,0.9793,83.9092,10.5031,0.1252,82.3679,10.9331,0.1327,85.4496,10.054,0.1177,2
E06000037,West Berkshire,2020,82.9,87.35,2.71,6.1856,2.7425,88.66,3.12,12.8105,18.77,8.44,13.4,39.04,97.14,61.5071,0.9776,83.4824,10.4508,0.1252,81.4797,10.9924,0.1349,85.607,9.7764,0.1142,2
E06000038,Reading,2020,81.3,82.68,2.98,19.5876,2.2222,37.11,2.98,10.7538,26.92,12.79,12.5,36.38,94.94,48.5635,1.0446,80.6072,11.3737,0.1411,78.7073,12.1355,0.1542,82.6569,10.4333,0.1262,2
E06000039,Slough,2020,74.2,74.77,4.06,43.75,2.4,45,2.97,11.7819,33.45,15.76,12.4,33.13,96.14,55.1867,1.0299,80.5787,11.8832,0.1475,78.4709,12.5875,0.1604,82.8947,10.9277,0.1318,1
E06000040,Windsor and Maidenhead,2020,80.4,88.19,2.72,10.1124,2.1947,79.78,3.87,14.3406,17.24,9.39,15.5,39.3,97.23,60.1058,0.9856,83.6052,9.9899,0.1195,81.7386,10.7663,0.1317,85.4813,9.1083,0.1066,2
E06000041,Wokingham,2020,78.8,85.81,2,1.0101,2.1356,61.62,3.78,13.9761,14.81,9.33,9.7,42.36,96.22,60.2399,0.9672,84.6914,9.7534,0.1152,83.0854,10.2162,0.123,86.3066,9.2682,0.1074,2
E06000042,Milton Keynes,2020,80.6,78.84,3.88,19.0789,2.2051,56.58,2.91,10.7328,29.73,10.42,12.3,37.95,94.41,57.3341,0.9759,81.846,10.8224,0.1322,80.0007,11.4291,0.1429,83.7566,10.1394,0.1211,2
E06000043,Brighton and Hove,2020,76.3,87.48,4.53,15.7576,2,38.79,3.05,13.7487,27.02,13.77,14.9,37.61,92.15,38.4433,1.0173,81.5488,10.8083,0.1325,79.6001,11.4384,0.1437,83.6109,9.9926,0.1195,4
E06000044,Portsmouth,2020,72.3,80.5,5.2,24,1.7917,21.6,2.77,9.738,31.69,13.84,20.3,32.7,94.48,46.2534,1.0487,80.4457,10.9621,0.1363,78.1672,11.4043,0.1459,82.9016,10.2199,0.1233,1
E06000045,Southampton,2020,74.8,86.55,3.25,36.4865,1.4359,46.62,2.74,8.7949,33.97,17.63,12.2,33.19,94.34,45.2354,1.0536,80.608,11.2728,0.1398,78.5966,11.6554,0.1483,82.7749,10.6452,0.1286,1
E06000046,Isle of Wight,2020,73.9,83.32,6.09,64.0449,2.6207,89.89,2.89,9.3554,29.63,9.52,31.3,37.84,95.87,75.4321,0.9627,81.4405,10.9332,0.1342,79.2704,11.8356,0.1493,83.7044,9.9251,0.1186,3
E06000047,County Durham,2020,71.6,80.33,7.77,57.716,7.6122,65.12,2.72,5.1257,35.75,11.37,24.8,37.08,95.05,58.7202,0.9686,79.5434,11.2982,0.142,77.7835,11.8203,0.152,81.3635,10.7056,0.1316,1
E06000049,Cheshire East,2020,80.5,85.13,4.07,20.0855,8.2447,69.66,3.27,9.2164,22.35,7.77,21.5,39.35,94.44,66.3511,0.9585,82.4688,10.3433,0.1254,80.8506,10.94,0.1353,84.1288,9.6536,0.1147,2
E06000050,Cheshire West and Chester,2020,76.3,84.89,3.92,28.3019,4.2295,78.3,2.65,8.4593,24.71,9.02,15.2,37.45,95.5,62.9805,0.9522,81.93,10.5698,0.129,80.0773,11.1895,0.1397,83.8128,9.8457,0.1175,2
E06000051,Shropshire,2020,80.2,79.26,3.67,24.3523,3.0203,90.16,3.48,10.1996,28.88,9.31,25.6,36.13,94.82,67.1979,0.9829,82.3683,10.3754,0.126,80.4921,10.9653,0.1362,84.3509,9.6403,0.1143,3
E06000052,Cornwall,2020,77.5,80.9,6.2,35.2761,4.1167,96.63,2.94,11.9509,30.76,11.11,28.4,35.72,94.08,69.9556,0.9437,82.2399,10.6174,0.1291,80.3847,11.1555,0.1388,84.1408,9.9656,0.1184,3
E06000053,Isles of Scilly,2020,82.3383,73.7,3.21,0,1,100,3.3726,13.5836,14.71,11.31,17.8758,38.06,95.25,63.3327,0.9632,84.3737,9.4222,0.1113,82.7916,9.9074,0.1193,85.9181,8.9126,0.1036,2
E06000054,Wiltshire,2020,78,80.9,3.84,14.7368,2.9755,89.82,3.39,11.7043,20.22,12.5,22.2,37.58,97.29,65.3329,0.9776,83.1787,10.1878,0.1225,81.4722,10.7531,0.132,84.9384,9.5335,0.1122,2
E06000055,Bedford,2020,83,83.81,3.97,25.2427,2.0356,52.43,2.6,10.0485,28.47,9.98,13.2,35.83,96.69,61.0906,0.9673,80.9612,11.3963,0.1408,78.9986,11.957,0.1514,83.0079,10.6765,0.1286,2
E06000056,Central Bedfordshire,2020,81.5,79.79,3.6,10.1911,1.913,79.62,2.9,10.571,20.63,10.13,21.6,38.23,95.67,58.1583,0.9698,82.8295,10.3433,0.1249,81.2662,10.6563,0.1311,84.458,9.9469,0.1178,2
E06000057,Northumberland,2020,72.9,77.68,5.94,47.2081,9.378,83.25,3.37,7.7172,36.25,9.93,30.6,36.56,96.23,67.1657,0.953,81.3992,10.7077,0.1315,79.4994,11.4732,0.1443,83.3564,9.8584,0.1183,1
E06000058,"Bournemouth, Christchurch and Poole",2020,79.4,82.01,4.87,24.4635,3.8818,57.08,2.98,11.8462,24.81,18.75,19.1,36.22,95.8,61.5635,0.992,82.1577,10.5069,0.1279,80.4762,11.0716,0.1376,83.8889,9.8291,0.1172,4
E06000059,Dorset,2020,77,82.63,3.24,30.137,3.3742,90.41,3.35,12.6205,24.74,11.91,25.3,38.29,96.58,78.6824,0.9572,83.4724,10.1337,0.1214,81.4864,10.7977,0.1325,85.5646,9.3401,0.1092,2
E06000060,Buckinghamshire,2020,79.9,81.77,1.87,6.2696,5.4176,75.86,3.51,13.6308,21.79,13.65,15.2,38.97,95.52,62.5854,0.9623,83.5938,10.2826,0.123,81.9126,10.702,0.1307,85.2873,9.7679,0.1145,2
E06000061,North Northamptonshire,2020,86.3,79.38,2.34,37.1134,3.0769,78.87,2.64,8.5212,25.51,12.29,23.6,34.66,95.52,61.4747,0.973,81.1166,10.5857,0.1305,79.5259,11.0125,0.1385,82.7788,10.0749,0.1217,3
E06000062,West Northamptonshire,2020,78.9,77.61,3.85,21.9298,3.1363,68.42,3.02,9.6004,24.41,10.85,19.7,38.9,94.54,59.3652,0.9858,81.7941,10.9372,0.1337,80.2013,11.4756,0.1431,83.4743,10.3278,0.1237,2
E07000008,Cambridge,2020,81.3,72.08,3.1,4.3478,3.1218,39.13,2.81,13.899,23.32,11.02,10,38.53,91.48,43.0365,1.0988,83.4841,10.374,0.1243,81.6562,11.2822,0.1382,85.3763,9.2803,0.1087,2
E07000009,East Cambridgeshire,2020,81.1,70.15,4.43,10,1.7404,100,3.11,11.3803,18.44,9.32,18.6,39.59,94.88,63.587,0.9588,84.1002,9.8549,0.1172,82.8409,10.1251,0.1222,85.39,9.6214,0.1127,2
E07000010,Fenland,2020,69.4,56.82,8.09,54.5455,1.8108,98.18,2.76,8.4083,30.7,9.9,24.4,32.14,95.02,66.8301,0.9787,80.3659,11.1661,0.1389,78.7277,11.3062,0.1436,82.1015,10.9193,0.133,1
E07000011,Huntingdonshire,2020,77.1,75.44,3.94,12.381,2.4068,91.43,2.48,10.0993,22.25,7.33,20.1,35.97,96.55,60.8266,0.9911,83.2709,9.9045,0.1189,81.9336,10.2786,0.1254,84.6601,9.4744,0.1119,3
E07000012,South Cambridgeshire,2020,81.5,86.58,1.14,1.0417,1.9565,98.96,3.02,12.357,17.02,8.56,13.4,40.48,95.57,62.6518,0.984,84.9985,9.6563,0.1136,83.4814,10.1953,0.1221,86.5672,9.0575,0.1046,2
E07000026,Allerdale,2020,83.8,73.28,5.08,43.3333,5,100,3.84,6.4382,27.79,11.25,33.1,37.33,94.05,66.893,0.9699,80.6985,10.7456,0.1332,78.6822,11.4982,0.1461,82.793,9.9069,0.1197,3
E07000027,Barrow-in-Furness,2020,68.7,62.05,15.79,55.102,3.8017,42.86,2.58,4.3194,29.27,12.09,15.3,35,94.12,61.9855,0.9793,79.4328,11.211,0.1411,77.887,11.4302,0.1468,81.0199,10.9233,0.1348,1
E07000028,Carlisle,2020,82.3,71,6.66,45.5882,2.5205,57.35,2.71,6.0985,28.38,10.77,18.9,38.54,92.34,63.0075,0.9567,80.2055,11.2763,0.1406,77.9461,12.2339,0.157,82.4944,10.1873,0.1235,3
E07000029,Copeland,2020,71.8,63.11,7.73,57.1429,2.7528,93.88,3.81,7.57,26.06,10.51,14.5,33.86,94.77,63.8554,0.9941,80.0752,11.2007,0.1399,78.4371,11.7567,0.1499,81.8543,10.5726,0.1292,3
E07000030,Eden,2020,86.9,52.94,3.36,19.4444,2.5,83.33,2.91,8.8238,27.03,8.39,26.3,35.51,94.63,70.0315,0.9816,84.1724,9.4517,0.1123,82.4205,10.1084,0.1226,85.9513,8.7431,0.1017,3
E07000031,South Lakeland,2020,81.9,75.56,4.18,11.8644,2.1412,77.97,2.69,9.8823,23.85,6.76,32.6,37.71,95.65,73.2673,0.9626,83.4358,9.7001,0.1163,81.3887,10.3253,0.1269,85.4986,8.9502,0.1047,3
E07000032,Amber Valley,2020,76.7,85.61,7.28,38.4615,4.1698,98.72,4.18,6.9779,23.99,11.82,26.4,35.82,96.39,61.1529,0.9634,81.9438,9.8896,0.1207,80.3508,10.3236,0.1285,83.5628,9.3957,0.1124,3
E07000033,Bolsover,2020,69.6,41.46,8.08,68.75,1.7431,97.92,2.9397,6.7805,27.4,10.52,33.1,33.01,93.34,57.9457,0.9734,79.6873,10.9165,0.137,77.4363,11.787,0.1522,82.0818,9.9168,0.1208,3
E07000034,Chesterfield,2020,68.3,77.27,8.54,55.0725,2.3983,47.83,2.57,7.4718,27.25,10.32,24.9,37.85,94.72,59.7264,0.9608,80.0769,11.2197,0.1401,78.1095,11.9676,0.1532,82.0939,10.3765,0.1264,1
E07000035,Derbyshire Dales,2020,79.8,56.31,4.29,13.9535,2.4707,100,3.4075,11.1174,20.9,7.47,24.1,35.53,93.33,70.1176,0.97,84.0683,9.237,0.1099,82.2071,9.7939,0.1191,85.9142,8.5903,0.1,3
E07000036,Erewash,2020,82.5,60.56,6.86,35.6164,2.5,89.04,2.82,6.7962,22.9,10.29,30.9,33.58,93.75,59.7781,0.9592,80.9478,10.5905,0.1308,79.0709,10.8761,0.1375,82.877,10.1766,0.1228,3
E07000037,High Peak,2020,69.5,59.99,7.93,18.6441,3.2273,100,3.55,8.3476,21.24,8.47,26.5,37.76,96.17,59.4828,0.9639,81.1847,10.6278,0.1309,79.2294,11.5078,0.1452,83.1584,9.7046,0.1167,3
E07000038,North East Derbyshire,2020,78.8,59.1,4.19,47.619,4.1295,96.83,2.55,8.3507,23.56,10.54,31.3,37.37,90.19,67.1569,0.9523,81.7098,10.1237,0.1239,79.9192,10.7308,0.1343,83.5447,9.5045,0.1138,3
E07000039,South Derbyshire,2020,85.6,76.74,4.64,22.4138,2.0769,89.66,2.91,7.5486,22.85,8.77,30.9,39.74,92.59,56.1254,0.9677,81.9263,10.4799,0.1279,79.6627,11.1403,0.1398,84.3689,9.6819,0.1148,3
E07000040,East Devon,2020,83.5,73.79,1.76,49.3827,2.8,70.37,3.54,12.0035,24.7,9.3,25.9,37.26,94.49,83.1073,0.9336,84.2365,9.8006,0.1163,82.8549,10.0038,0.1207,85.6038,9.5673,0.1118,2
E07000041,Exeter,2020,78.9,79.55,2.21,28.3784,1.7365,35.14,3.79,11.9363,25.01,10.82,20.4,36.63,94.82,43.9182,1.0075,82.2152,10.6211,0.1292,79.744,11.4479,0.1436,84.6923,9.4591,0.1117,2
E07000042,Mid Devon,2020,81.5,72.62,3.32,27.907,1.9659,100,3.47,11.8357,27.12,11.96,31.3,37.24,95.5,68.6235,0.9554,83.8224,9.7999,0.1169,82.1529,10.358,0.1261,85.5137,9.2243,0.1079,3
E07000043,North Devon,2020,80.7,76.01,5.45,51.7241,2.4269,70.69,3.1006,13.03,28.91,10.28,23.7,38.95,94.41,71.7544,0.9619,82.8968,10.4513,0.1261,80.4646,11.2756,0.1401,85.4157,9.4889,0.1111,3
E07000044,South Hams,2020,81.1,75.39,5.97,22.449,2.6628,95.92,3.58,15.4654,26.58,9.46,30.6,38.12,96.9,76.2,0.932,84.8224,9.5556,0.1127,82.975,10.0084,0.1206,86.6498,9.1094,0.1051,2
E07000045,Teignbridge,2020,78.1,71.27,4.53,28.5714,2.6854,82.14,2.91,12.5561,26.79,12.52,32.6,38.32,95.37,72.5415,0.9328,83.2259,10.0859,0.1212,80.9654,10.9455,0.1352,85.5258,9.0711,0.1061,3
E07000046,Torridge,2020,89,46.55,3.97,48.6486,1.803,100,3.2473,10.7561,32.38,12.56,39.7,31.58,95.83,75.7653,0.963,83.3147,9.5498,0.1146,81.9729,9.9036,0.1208,84.6726,9.2278,0.109,3
E07000047,West Devon,2020,71.5,27.38,6.76,6.4516,2.4364,93.55,3.3271,12.848,27.8,9.42,33.9,37.41,94.07,74.613,0.9516,83.5047,9.7893,0.1172,81.3011,10.9731,0.135,85.6884,8.5447,0.0997,3
E07000061,Eastbourne,2020,78.2,55.2,4.82,42.623,1.8002,83.61,2.9945,10.3507,29.79,11.43,23.5,36.51,95.74,70.7237,0.9475,81.4165,11.3081,0.1389,79.2483,12.1404,0.1532,83.5899,10.381,0.1242,3
E07000062,Hastings,2020,80.8,66.88,6.82,52.8302,2.1656,66.04,2.83,10.8173,33.65,14,31.8,33.61,95.52,61.4583,0.9579,79.9251,11.2363,0.1406,78.0191,11.8479,0.1519,81.8739,10.5374,0.1287,3
